,gene_symbol,DE,se_DE,z_DE,pval_DE,adj_pval_DE,mu1,mu2
ENSG00000147571,CRH,-1.2924824933011,0.19727625270007,-6.55163749113855,5.6909556530877e-11,5.50187989220387e-08,-2.20237922003273,-3.49486171333383
ENSG00000157005,SST,-0.897960029738794,0.176099280898738,-5.0991692024861,3.41147499515602e-07,6.41126333047499e-05,-0.360164479395341,-1.25812450913413
ENSG00000174576,NPAS4,-0.810808550809587,0.2267435457516,-3.5758837065106,0.000349046801310829,0.0189568113259794,-3.70222043400315,-4.51302898481274
ENSG00000254081,LINC01299,-0.793170528663951,0.164494395851352,-4.82186961178125,1.42218901478377e-06,0.000205626939889696,-1.2140727334613,-2.00724326212525
ENSG00000254561,AP003393.1,-0.769593962408598,0.12353778584789,-6.2296240549121,4.67555796415872e-10,3.1009001818407e-07,-1.94876427684392,-2.71835823925252
ENSG00000188536,HBA2,-0.767161794973835,0.151942522216539,-5.04902632773546,4.44067542087582e-07,7.9826171024992e-05,-0.352353749232912,-1.11951554420675
ENSG00000258844,AL162511.1,-0.766576973656715,0.147999827573248,-5.17958018077635,2.22385811663078e-07,4.52034044713553e-05,-2.1674982106526,-2.93407518430932
ENSG00000268518,AC020909.2,-0.748389220051402,0.135205996931575,-5.53517770687454,3.10912956242177e-08,9.11270377944533e-06,-2.2429279209728,-2.99131714102421
ENSG00000168081,PNOC,-0.73632434900125,0.134761669401556,-5.4639004716333,4.65784755642569e-08,1.26590521889372e-05,-2.39631106263755,-3.1326354116388
ENSG00000186081,KRT5,-0.717588603642739,0.188562823493833,-3.80556776965214,0.000141479268060735,0.00898448813058244,-3.0295298703461,-3.74711847398884
ENSG00000128564,VGF,-0.717008594185891,0.144480144695314,-4.96267909821068,6.95274039066557e-07,0.000115279043201774,0.885590627898774,0.168582033712883
ENSG00000206172,HBA1,-0.706943497214653,0.138246239848268,-5.1136544327756,3.15985192501589e-07,6.01399345042838e-05,-1.06231114049391,-1.76925463770857
ENSG00000086717,PPEF1,-0.675264284242302,0.120839376271767,-5.58811461194272,2.29548132504426e-08,7.15991190245862e-06,-1.50060346467396,-2.17586774891626
ENSG00000259065,AC005520.2,-0.671027790800418,0.140085127646672,-4.79014298000933,1.66662512577515e-06,0.00023536476747919,-2.6090551789503,-3.28008296975072
ENSG00000270021,AC026691.1,-0.670589021089452,0.11750326591736,-5.70698197921645,1.14996952032668e-08,4.04094704986737e-06,-0.449702100478535,-1.12029112156799
ENSG00000248587,GDNF-AS1,-0.662105286320832,0.109405514667526,-6.05184563440804,1.43195654640297e-09,7.75099313220846e-07,-2.13378880720831,-2.79589409352914
ENSG00000267432,DNAH17-AS1,-0.657695286539612,0.166363471995581,-3.9533635518083,7.70602159080687e-05,0.00542791410043613,-2.859494019563,-3.51718930610261
ENSG00000142449,FBN3,-0.644109270664832,0.0927803133113871,-6.94230540592257,3.85752122008103e-12,5.81086217710383e-09,-2.59578247050836,-3.23989174117319
ENSG00000146469,VIP,-0.636257780312795,0.120899565285136,-5.26269700649633,1.4195742008473e-07,3.13827635210436e-05,-0.539442118629542,-1.17569989894234
ENSG00000136750,GAD2,-0.620755832106545,0.161611630453139,-3.8410344005937,0.000122516941674419,0.00795979156752276,0.8802173794095,0.259461547302955
ENSG00000185615,PDIA2,-0.619854988488528,0.0825616883902505,-7.5077799470211,6.01384823514566e-14,2.18178984744928e-10,0.697937666030136,0.0780826775416077
ENSG00000089169,RPH3A,-0.61938074429139,0.122215634074758,-5.06793381207286,4.02157186007583e-07,7.37941330084498e-05,2.33341054765326,1.71402980336187
ENSG00000237686,AL109615.3,-0.618548618396987,0.0916565940178482,-6.74854466309906,1.49335433184041e-11,1.78031652531669e-08,-2.66629352033266,-3.28484213872964
ENSG00000148704,VAX1,-0.617952304989119,0.104003872947105,-5.94162782095048,2.82205561174939e-09,1.29032347682485e-06,-2.40477458037946,-3.02272688536857
ENSG00000246363,LINC02458,-0.615562354011397,0.134529614578174,-4.57566429474678,4.74711249349707e-06,0.000551056375269665,-2.23271953360972,-2.84828188762112
ENSG00000168314,MOBP,-0.607764685065837,0.12701495921847,-4.78498508211509,1.71000032971984e-06,0.000240268023306928,3.9661484748102,3.35838378974436
ENSG00000272668,AL590560.2,-0.60585292627432,0.100568859855734,-6.02425966788744,1.69885433170308e-09,8.77991392707338e-07,-1.79782231848768,-2.403675244762
ENSG00000006128,TAC1,-0.603887114398001,0.159688124823992,-3.78166576295892,0.000155782435424668,0.00975256240416023,-0.858870912141955,-1.46275802653996
ENSG00000273295,AP000350.6,-0.603015495387091,0.192208662317594,-3.13729614532515,0.00170513802561169,0.0705291237966931,-2.10347840883402,-2.70649390422111
ENSG00000168329,CX3CR1,-0.59851987333376,0.165497189378583,-3.61649569748653,0.00029861827889262,0.0167083500783641,0.00449563819712547,-0.594024235136634
ENSG00000122367,LDB3,-0.595643561408692,0.111804332924809,-5.32755346619059,9.95444816200323e-08,2.33901841609114e-05,0.82587981625762,0.230236254848928
ENSG00000197971,MBP,-0.590406002214768,0.12836877483082,-4.59929607486616,4.23920934462582e-06,0.000504452920290628,6.67353904313761,6.08313304092284
ENSG00000126266,FFAR1,-0.587566570699223,0.145805265802058,-4.029803501726,5.58234977783776e-05,0.00413082257705335,-2.67489662269921,-3.26246319339844
ENSG00000128683,GAD1,-0.583058576200173,0.126232057752754,-4.61894218140839,3.85701304412127e-06,0.000464951905136396,1.60537535877028,1.02231678257011
ENSG00000099834,CDHR5,-0.581600941150772,0.107382852183011,-5.41614353993464,6.08982184212093e-08,1.54893498964655e-05,-2.16727177034416,-2.74887271149493
ENSG00000160781,PAQR6,-0.580316016996356,0.104596256009131,-5.54815286070752,2.88703416304154e-08,8.56510289155583e-06,3.46084325378466,2.8805272367883
ENSG00000101438,SLC32A1,-0.579207176224923,0.157003423375046,-3.68913724155765,0.000225015818984666,0.0132461444850972,-0.668472865912446,-1.24768004213737
ENSG00000166091,CMTM5,-0.57763535685586,0.107017319710548,-5.39758759066476,6.75429019675503e-08,1.67198362885779e-05,1.1890427725607,0.611407415704837
ENSG00000230461,PROX1-AS1,-0.573882723219137,0.105618928269696,-5.43352155357737,5.52526062238569e-08,1.44461842569552e-05,-0.95734729714006,-1.5312300203592
ENSG00000078804,TP53INP2,-0.571453108947053,0.112368161289897,-5.08554293660433,3.66575886752748e-07,6.80360628321382e-05,3.24533834235445,2.6738852334074
ENSG00000138152,BTBD16,-0.567508809487001,0.145182348979264,-3.90893805946106,9.27027267477895e-05,0.00630307167325092,-2.04872517432596,-2.61623398381296
ENSG00000270171,AL359881.3,-0.560494857011618,0.0956609013701452,-5.85918435832911,4.65146086565139e-09,1.9396591352224e-06,-2.10340296460678,-2.6638978216184
ENSG00000276663,AC009090.3,-0.55940319876846,0.113618103748344,-4.92353929799338,8.49927989583315e-07,0.000135155239685671,-2.33431761871488,-2.89372081748334
ENSG00000231764,DLX6-AS1,-0.559397196489055,0.14870413429449,-3.76181334260174,0.000168685920167812,0.0104260129152746,0.112402992556889,-0.446994203932166
ENSG00000119973,PRLHR,-0.558798191232746,0.131522039112307,-4.24870382944403,2.15010958477608e-05,0.00188374023840008,-2.49040451718506,-3.0492027084178
ENSG00000163395,IGFN1,-0.557907949543915,0.141058781376272,-3.95514511114132,7.64882116173949e-05,0.00540288691650565,-1.81491943871599,-2.37282738825991
ENSG00000230202,AL450405.1,-0.557280601496276,0.169353931637528,-3.29062689072395,0.000999644054618736,0.0452592794500073,-3.43627733408037,-3.99355793557664
ENSG00000172508,CARNS1,-0.556328455865115,0.125310360612493,-4.43960461964907,9.01242956849518e-06,0.000926437213420115,2.63489096803287,2.07856251216775
ENSG00000181195,PENK,-0.556251204403953,0.158638425221151,-3.50640901552387,0.000454196687150479,0.0234547984476478,-2.06666598631689,-2.62291719072085
ENSG00000219392,ZNF602P,-0.554865931810791,0.101940894004004,-5.44301614412954,5.23858971207722e-08,1.39067377871244e-05,-2.18146155103522,-2.73632748284601
ENSG00000265179,AP000894.2,-0.554134084007756,0.1265346691757,-4.37930637996383,1.19057648686079e-05,0.00115562037273911,-2.41022299819533,-2.96435708220308
ENSG00000141433,ADCYAP1,-0.551354977559866,0.119284459146387,-4.62218617165576,3.79716997606641e-06,0.000459712193562606,-0.380503380141221,-0.931858357701087
ENSG00000274922,AL139384.1,-0.550513166216025,0.101342211111632,-5.43221980433813,5.56573051988916e-08,1.44784988028592e-05,-2.40142945290434,-2.95194261912036
ENSG00000167011,NAT16,-0.550474366162707,0.105328233728533,-5.22627548831274,1.72958604162285e-07,3.66917697436812e-05,-2.31401562859464,-2.86448999475735
ENSG00000222044,AL031587.1,-0.547193612756171,0.115122631673443,-4.75313676209507,2.00284769944194e-06,0.000274469225296375,-1.97683211654698,-2.52402572930316
ENSG00000119283,TRIM67,-0.540066511389936,0.0665975143996062,-8.10940943154975,5.08663775611702e-16,4.4929345396724e-12,-1.09122482832863,-1.63129133971856
ENSG00000132199,ENOSF1,-0.535746369968471,0.104085532792171,-5.14717420948599,2.64439721845477e-07,5.1714418994388e-05,0.76797954604646,0.232233176077989
ENSG00000069696,DRD4,-0.533409650860966,0.0913900115474083,-5.83662964725922,5.32673170345062e-09,2.15000299549738e-06,-2.42077684220345,-2.95418649306441
ENSG00000271538,LINC02427,-0.53172272017675,0.149561465006762,-3.55521203374619,0.000377674391789303,0.0201566716369373,-2.87099110072686,-3.40271382090361
ENSG00000205913,SRRM2-AS1,-0.530249879762436,0.0851864162284288,-6.22458254776867,4.82839876996961e-10,3.15913832877277e-07,-2.49268428554865,-3.02293416531108
ENSG00000159674,SPON2,-0.529572380537907,0.100884233244627,-5.24930768174431,1.52671893577856e-07,3.31480525184528e-05,-1.38647125352867,-1.91604363406658
ENSG00000197322,C17orf102,-0.529155440447839,0.135708279890453,-3.89921264107824,9.65059951081702e-05,0.00650250954890552,-1.60162764662412,-2.13078308707196
ENSG00000165509,MAGEC3,-0.525621707883294,0.127606642902795,-4.11907794082233,3.80391476214144e-05,0.00302944388103434,-2.13708194217922,-2.66270365006251
ENSG00000242861,AL591895.1,-0.524416567572703,0.118597575463856,-4.42181524809101,9.78751307572805e-06,0.00098859056067312,-1.89277905970499,-2.41719562727769
ENSG00000174567,GOLT1A,-0.52418783517958,0.097234936944352,-5.39094127740912,7.00895775922607e-08,1.72404387032976e-05,-2.62918065371597,-3.15336848889556
ENSG00000207955,AL359091.1,-0.522420059066782,0.144330959863972,-3.61959803744914,0.000295061007242615,0.0165426554232234,0.643846187665538,0.121426128598756
ENSG00000101213,PTK6,-0.522356987054753,0.0773869042869584,-6.74994034026482,1.47905960332519e-11,1.77415934233093e-08,-1.82039142525636,-2.34274841231112
ENSG00000278266,AC079949.2,-0.520430261111806,0.0626742089718632,-8.30373880499149,1.00885298523584e-16,1.11886662199017e-12,-1.68669258598594,-2.20712284709775
ENSG00000244734,HBB,-0.50771334467346,0.173229060624295,-2.93087858840617,0.00338004855515579,0.123230352690702,1.84673629133933,1.33902294666587
ENSG00000266844,AC093330.1,-0.506459781621339,0.121186609843112,-4.17917278383315,2.92571345555788e-05,0.0024389007584288,-0.205972393135452,-0.712432174756791
ENSG00000279863,AC069547.1,-0.502310817516065,0.101606574963405,-4.9436841828098,7.66598556117421e-07,0.000124554315307607,-2.60279393557259,-3.10510475308865
ENSG00000266086,AC015813.2,-0.502028336772494,0.0885651525026058,-5.66846352754514,1.44083732454441e-08,4.85384741552427e-06,-2.46597182262455,-2.96800015939705
ENSG00000261121,LINC02473,-0.498077445717947,0.137020341846495,-3.63506205725239,0.000277913729210067,0.015781633668513,-1.75018693496763,-2.24826438068558
ENSG00000251575,C5orf64-AS1,-0.497588480857831,0.158701952889206,-3.13536457364965,0.00171640657098785,0.0708895961359828,-2.79189286240366,-3.28948134326149
ENSG00000262877,AC110285.2,-0.493772346996738,0.10946717764807,-4.51068856990343,6.46175299800641e-06,0.000707414499413563,0.241778845232315,-0.251993501764423
ENSG00000205959,AC105345.1,-0.492874906465925,0.0824979759944588,-5.97438786254624,2.30955731342976e-09,1.10541326520615e-06,-1.29375178398679,-1.78662669045271
ENSG00000099622,CIRBP,-0.485871545459853,0.0687153459421167,-7.07078657319332,1.54057929414139e-12,2.79783591153646e-09,3.2620226865534,2.77615114109355
ENSG00000159248,GJD2,-0.485792841533924,0.13580021393105,-3.57726123892982,0.000347213124148707,0.018893266815654,-2.01367404475903,-2.49946688629295
ENSG00000234409,CCDC188,-0.485676238205678,0.0862290623379591,-5.63239614391443,1.77722871892059e-08,5.73678788989347e-06,-2.56704977144029,-3.05272600964597
ENSG00000261671,AL158211.1,-0.4856334614543,0.0714718707963265,-6.79474954333027,1.08500856559189e-11,1.39937851697383e-08,-2.32513112576171,-2.81076458721601
ENSG00000171873,ADRA1D,-0.485561015302111,0.116623401663248,-4.16349556244448,3.1341211959433e-05,0.00257626347153908,-2.11998966559616,-2.60555068089827
ENSG00000177989,ODF3B,-0.480652215992869,0.120031480424812,-4.00438463552861,6.21791255084267e-05,0.004529662113559,-1.82335767769314,-2.304009893686
ENSG00000255856,AC069503.1,-0.480428434248171,0.0638231107998448,-7.52749949395037,5.17212089175949e-14,2.03569640965385e-10,-2.6450213083654,-3.12544974261357
ENSG00000204644,ZFP57,-0.480217889780296,0.125599761738566,-3.82339809513223,0.000131625005795718,0.00846101017958646,-1.07810425174764,-1.55832214152793
ENSG00000136943,CTSV,-0.477357822903566,0.119227409202112,-4.00375908608698,6.23438540321841e-05,0.00453737157957638,-2.55615130944934,-3.0335091323529
ENSG00000197993,KEL,-0.475722804474548,0.110968124874682,-4.28702210667964,1.81084278424205e-05,0.00163212700936411,-1.43304068581189,-1.90876349028644
ENSG00000120875,DUSP4,-0.473717568412008,0.0876683645125842,-5.40351780309542,6.53464665176783e-08,1.64051607041429e-05,-1.06189907655888,-1.53561664497089
ENSG00000172824,CES4A,-0.471374289973561,0.0674846760388349,-6.98490853986323,2.85041611525068e-12,4.72913987707121e-09,1.61961815224045,1.14824386226689
ENSG00000104327,CALB1,-0.469732527039729,0.139520385565328,-3.36676626240963,0.000760551214108617,0.0359590826135725,-0.481394539512918,-0.951127066552647
ENSG00000226416,MRPL23-AS1,-0.469019789945821,0.0755938759978694,-6.20446807039025,5.48822143027742e-10,3.51974303504072e-07,-1.76990224945608,-2.2389220394019
ENSG00000130948,HSD17B3,-0.467812273986714,0.124768155848954,-3.74945250094947,0.000177221058602786,0.0108431831667068,-1.72499329313876,-2.19280556712547
ENSG00000184956,MUC6,-0.46770664666222,0.143927053163931,-3.24960899553407,0.00115563782705469,0.0509219611182956,-2.07396946523976,-2.54167611190198
ENSG00000162913,OBSCN-AS1,-0.464911891078213,0.108785647519005,-4.27365099791305,1.92297951738245e-05,0.00171647779955074,-2.50126108136694,-2.96617297244516
